Tahun,Provinsi,Kabupaten/Kota,Timbulan Sampah Tahunan (ton/tahun)(A),Pengurangan Sampah Tahunan (ton/tahun)(B),%Pengurangan Sampah(B/A),Penanganan Sampah Tahunan (ton/tahun)(C),%Penanganan Sampah(C/A),Sampah Terkelola Tahunan (ton/tahun)(B+C),%Sampah Terkelola(B+C)/A,Daur ulang Sampah Tahunan (ton/tahun)(D),Bahan baku Sampah Tahunan (ton/tahun)(E),Recycling Rate(D+E)/A,P1/P2,Nama Fasilitas,Jenis,Status,Sampahmasuk (ton/thn),Sampahmasuk Landfill (ton/thn),Sampah Organikterolah (ton/thn),Sampah An-Organikterolah (ton/thn),RecoveryPemulung (ton/thn),Energi(MW),Alamat,Kelurahan,Kecamatan,Pengelola,Luas (hektar),Sistem Operasional,Luas Landfill Aktif (m2),Pencatatan,Jembatan Timbang,Penutupan Sampah Zona Aktif,Jml Sumur Pantau,IPL,Jml Uji Lindi,Ada Drainase,Pemanfaatan Gas Metana,Jumlah KK yang memanfaatkan gas Metana,Tahun Awal Operasi,Tahun Akhir Operasi,Ada Data SIPSN,Ada Data TPA
2025,Jawa Barat,Kab. Bandung Barat,,,,,,,,,,,,TPA Regional TPAS Sarimukti,TPA Regional,A,49658.25,45906.05,0.0,0.0,3752.2,0.0,Desa Sarimukti,,,Pemda DATI I,0.0,Open Dumping,200000.0,Manual Book,Ada tapi Rusak,Sebulan Sekali,3.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi serta proses kimia, masih berfungsi baik dan terawat.",255.0,ADA,Tidak ada. Gas Metana dibakar.,,,,False,True
2025,Jawa Barat,Kab. Bekasi,836473.27,0.0,0.0,9171.53,1.1,9171.53,1.1,0.0,9171.53,1.1,P 1,,,,,,,,,,,,,Tidak Diketahui,,Tidak Diketahui,,,,,,,,,,,,,True,False
2025,Jawa Barat,Kab. Bogor,1037020.3,22051.89,2.13,318660.69,30.73,340712.58,32.85,22051.89,318642.44,32.85,P 1,,,,,,,,,,,,,Tidak Diketahui,,Tidak Diketahui,,,,,,,,,,,,,True,False
2025,Jawa Barat,Kab. Ciamis,184884.18,2203.6,1.19,149893.3,81.07,152096.91,82.27,498.04,120620.3,65.51,P 1,TPA CIMINYAK,TPA Pemda (Non Regional),A,22973.1,22622.7,105.85,244.55,0.0,0.0,Blok Sabuk Dusun Babakan Ciminyak dan Dusun Ciminyak Desa Karyamulya,,,Pemda DATI II,14.12,Sanitary Landfill,15000.0,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada & Berfungsi,2-3x Seminggu,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4.0,ADA,Tidak ada. Melepas gas Metana ke udara.,,2023.0,,True,True
2025,Jawa Barat,Kab. Ciamis,184884.18,2203.6,1.19,149893.3,81.07,152096.91,82.27,498.04,120620.3,65.51,P 1,TPA BANJARANYAR,TPA Pemda (Non Regional),A,6570.0,6376.55,102.2,91.25,0.0,0.0,Cigayam rt/rw 024/006,Sindang rasa,Banjaranyar,Pemda DATI II,5.0,Sanitary Landfill,1000.0,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada & Berfungsi,2-3x Seminggu,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",4.0,ADA,Untuk Bahan Bakar,,2015.0,,True,True
2025,Jawa Barat,Kab. Cianjur,400161.44,3736.29,0.93,9001.71,2.25,12737.99,3.18,3711.69,9001.71,3.18,P 1,TPST Mekarsari,TPA Pemda (Non Regional),A,83906.2,78204.9,3285.0,1825.0,591.3,0.0,Jl. Sirnarasa-Mekargalih,,,Pemda DATI II,2.7,Open Dumping,40000.0,Otomatis Komputerisasi (Aplikasi Khusus TPA),Ada & Berfungsi,3-4 Bulan Sekali,3.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",4.0,ADA,Tidak ada. Gas Metana dibakar.,,2024.0,,True,True
2025,Jawa Barat,Kab. Cirebon,456230.47,0.0,0.0,9050.88,1.98,9050.88,1.98,0.0,9050.88,1.98,P 1,TPAS Kubangdeleg,TPA Pemda (Non Regional),A,27061.1,27009.63,0.0,0.0,51.47,0.0,Desa Kubangdeleg,,,Pemda DATI II,88.0,Open Dumping,16700.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Dua Minggu Sekali,2.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA hanya berupa kolam pengendapan saja tanpa proses biologi atau proses kimia, masih berfungsi baik dan terawat.",,ADA,Tidak ada. Gas Metana dibakar.,,2023.0,,True,True
2025,Jawa Barat,Kab. Cirebon,456230.47,0.0,0.0,9050.88,1.98,9050.88,1.98,0.0,9050.88,1.98,P 1,TPA Gunungsantri,TPA Pemda (Non Regional),A,92578.6,92004.82,0.0,0.0,573.78,0.0,Jl. Kepuh-Kedongdong,Kepuh,Palimanan,Lainnya,4.2,Open Dumping,22000.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Tidak Ada,Dua Minggu Sekali,,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA tetapi sudah rusak atau tidak berfungsi dengan baik dan tidak terawat",,ADA,Tidak ada. Gas Metana dibakar.,,1986.0,2021.0,True,True
2025,Jawa Barat,Kab. Garut,423450.24,0.0,0.0,57555.97,13.59,57555.97,13.59,0.0,57555.97,13.59,P 1,TPA Pasirbajing,TPA Pemda (Non Regional),A,90082.0,90082.0,0.0,0.0,0.0,0.0,Kp Pasir Bajing,,,Pemda DATI II,18.0,Open Dumping,,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Sebulan Sekali,1.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",,ADA,Tidak ada. Gas Metana dibakar.,,,,True,True
2025,Jawa Barat,Kab. Indramayu,419174.73,1099.1,0.26,106962.85,25.52,108061.95,25.78,799.35,31839.28,7.79,P 1,TPA Kertawinangun,TPA Pemda (Non Regional),A,71102.0,70445.0,0.0,0.0,657.0,0.0,Desa Kertawinangun,,,Pemda DATI II,2.8,Control Landfill,12600.0,Kombinasi timbangan dengan Komputer (excel / tidak otomatis),Ada & Berfungsi,Seminggu Sekali,4.0,"Ada, Instalasi Pengolahan Air Lindi (IPAL) di TPA berupa kolam pengendapan dan proses biologi, masih berfungsi baik dan terawat.",1.0,ADA,Tidak ada. Gas Metana dibakar.,,2020.0,,True,True
