Provinsi,Kabupaten/Kota,rasio_pengelolaan,rasio_pengurangan,rasio_penanganan,recycling_rate,Luas (hektar),Jml Sumur Pantau,utilisasi_tpa,efisiensi_landfill,rasio_recovery_pemulung,rasio_organik_terolah,sampah_per_hektar,proporsi_landfill_aktif,usia_operasi_tpa,skor_penutupan,skor_jembatan,skor_drainase,skor_infrastruktur,Jenis_TPA Pemda (Non Regional),Jenis_TPA Regional,Jenis_nan,Pengelola_Lainnya,Pengelola_Pemda DATI I,Pengelola_Pemda DATI II,Pengelola_Swasta,Pengelola_Tidak Diketahui,Pengelola_nan,Sistem Operasional_Control Landfill,Sistem Operasional_Open Dumping,Sistem Operasional_Sanitary Landfill,Sistem Operasional_Tidak Diketahui,Sistem Operasional_nan,Ada Data SIPSN,Ada Data TPA,P1/P2,Status
Aceh,Kab. Gayo Lues,0.03576332322597587,0.0,0.03576332322597587,0.03576332322597587,5.0,2.0,0.5960553870995978,0.96,0.04,0.0,1825.0,0.008,11.0,1.0,0.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kab. Nagan Raya,0.6877535830663242,0.00033243775585226596,0.6874211453104719,0.2553685482870568,10.5,1.0,0.3740964803199874,0.9804428044280442,0.001107011070110701,0.01845018450184502,942.047619047619,0.09523809523809523,9.0,3.0,2.0,1.0,6.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Aceh,Kab. Pidie,0.030585399993074868,0.0,0.030585399993074868,0.030585399993074868,4.55,2.0,0.2908465494180866,1.0,0.0,0.0,4264.483516483517,0.7692307692307693,13.0,3.0,0.0,1.0,4.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Aceh,Kab. Pidie Jaya,,,,,10.0,,,1.0,0.0,0.0,730.0,,13.0,0.0,0.0,0.0,0.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,,A
Aceh,Kab. Simeulue,0.04559071473653332,0.0,0.04559071473653332,0.04559071473653332,5.62,2.0,0.40341530338004217,0.9919571045576407,0.005361930294906166,0.0,1211.2544483985764,0.11345195729537366,8.0,1.0,0.0,1.0,2.0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kota Banda Aceh,0.17497278062089267,0.0095382566328492,0.16543452398804345,0.17491029874063793,206.0,2.0,0.3198214563231208,1.0,0.0,0.0,136.6623786407767,0.009708737864077669,,2.0,2.0,1.0,5.0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,P 1,A
Aceh,Kota Banda Aceh,0.17497278062089267,0.0095382566328492,0.16543452398804345,0.17491029874063793,23.3,3.0,0.4797114518607785,0.9859970611115915,0.014002938888408678,0.0,1812.311158798283,0.0407725321888412,15.0,3.0,2.0,1.0,6.0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,P 1,A
Aceh,Kota Langsa,0.6518158722762363,0.015316864848405942,0.6364990074278304,0.025311409649118367,0.0,2.0,0.6262384062118364,0.9907965361292455,0.0,0.0030391174570370224,,1.0,17.0,4.0,2.0,1.0,7.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
Aceh,Kota Lhokseumawe,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,P 1,
Aceh,Kota Sabang,0.6986700638659644,0.0,0.6986700638659644,0.0,5.14,1.0,0.6986700638659644,1.0,0.0,0.0,1048.842412451362,0.10505836575875487,25.0,1.0,0.0,1.0,2.0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,P 1,A
